model,provider,Playground,parameters,training tokens,Chinchilla ratio,ALScore,MMLU,MMLU-Pro,GPQA,Training dataset,Announced,Public?,Paper / Repo,Arch,Notes,
Claude 3.5 Sonnet (new),Anthropic,https://claude.ai/,175,20000,115:01:00,6.2,90.5,78,65,🆆 📚⬆ 🕸 🌋,24-Oct,🟢,https://assets.anthropic.com/m/61e7d27f8c8f5919/original/Claude-3-Model-Card.pdf#page=51,Dense,Absurd naming scheme. Paper addendum pp51-64: https://assets.anthropic.com/m/61e7d27f8c8f5919/original/Claude-3-Model-Card.pdf#page=51,
GPT-4.5,OpenAI,https://chat.com/,5400,114000,22:01,82.7,89.6,,71.4,🆆 📚⬆ 🕸 🌋 ⚛️,25-Feb,🟢,https://cdn.openai.com/gpt-4-5-system-card.pdf,MoE,"""Our largest and best model for chat"" https://openai.com/index/introducing-gpt-4-5/ ""GPT-4.5 is not a frontier model, but it is OpenAI's largest LLM, improving on GPT-4's computational efficiency by more than 10x. While GPT-4.5 demonstrates increased world knowledge, improved writing ability, and refined personality over previous models, it does not introduce net-new frontier capabilities compared to previous reasoning releases, and its performance is below that of o1, o3-mini, and deep research on most preparedness evaluations.""",
Claude 3 Opus,Anthropic,https://claude.ai/,2000,40000,20:01,29.8,86.8,68.5,59.5,🆆 📚⬆ 🕸 🌋,24-Mar,🟢,https://www.anthropic.com/claude-3-model-card,MoE,"Original MMLU=86.8  (GPT-4=86.4). MMLU=88.2 with CoT prompting. Original GPQA=50.4. 200k context, 1M for researchers.",
GPT-4 Classic (gpt-4-0314 & gpt-4-0613, non-Turbo),OpenAI,https://chat.openai.com/,1760,13000,8:01,15.9,86.4,,35.7,🆆 📚⬆ 🕸 🌋,23-Mar,🟢,https://cdn.openai.com/papers/gpt-4.pdf,MoE,Original MMLU=86.4. MMLU=90.1 with prompting. Proto-AGI. 1.76T parameters MoE.
Gemini 1.5 Pro,Google DeepMind,https://ai.google.dev/,1000,15000,15:01,18.8,86.1,,48.2,🆆 📚⬆ 🕸 🌋 (over 2T),24-Feb,🟢,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_5_technical_report.pdf,MoE,"Original MMLU=83.7. MMLU=86.1 with Self-cCnsistency prompting. 1M context. ""The Gemini 1.5 architecture leverages a mixture-of-experts (MoE) design.""",
Llama 3.1 405B,Meta AI,llama.meta.com,405,15000,37:01:00,,81.4,,,🆆 📚⬆ 🕸 📊 🌋 (LIMA + UltraChat),24-Sep,🟢,https://ai.meta.com/llama/get-started/,MoE,"This is their first MoE model. 24.8B base. Parameters quoted are typically ""dense equivalents"". 8192 context.",
gpt-4o-2024-11-20,OpenAI,https://chat.openai.com/,,,,,89.6,,,🆆 📚⬆ 🕸 🌋 ⚛️ 📱 📺,24-Nov,🟢,,,,
Llama 3.3,Meta AI,https://llama.meta.com/,,,,,TBA,,,,,🟢,,,Due Q2 2025.,
gpt-4-turbo-2024-04-09,OpenAI,https://chat.openai.com/,1760,13000,8:01,15.9,86.4,,,,24-Apr,🟢,,,Shown in RLHF paper.,
GPT-4 Turbo,OpenAI,https://platform.openai.com,1760,13000,8:01,15.9,86.4,,35.7,🆆 📚⬆ 🕸 🌋,24-Apr,🟢,,,128k context.,
GPT-4o,OpenAI,https://chat.openai.com/,1760,13000,8:01,,86.4,,,,24-May,🟢,,MoE," vision""""","Voice + video + 128k context."""
